ID Name,Red,Green,Blue,Alpha,Hexadecimal,Description
RAL3001,165,032,025,1,#A52019,Signalred
RAL4008,140,086,138,1,#8C568A,Signalviolet
RAL9003,244,244,244,1,#F4F4F4,Signalwhite
RAL1003,229,190,001,1,#E5BE01,Signalyellow
RAL7044,202,196,176,1,#CAC4B0,Silkgrey
RAL7001,138,149,151,1,#8A9597,Silvergrey
RAL5015,034,113,179,1,#2271B3,Skyblue
RAL7015,067,071,080,1,#434750,Slategrey
RAL7000,120,133,139,1,#78858B,Squirrelgrey
RAL5011,035,026,036,1,#231A24,Steelblue
RAL7030,139,140,122,1,#8B8C7A,Stonegrey
RAL3018,213,048,050,1,#D53032,Strawberryred
RAL1016,237,255,033,1,#EDFF21,Sulfuryellow
RAL1037,243,159,024,1,#F39F18,Sunyellow
RAL7010,076,081,074,1,#4C514A,Tarpaulingrey
RAL7045,144,144,144,1,#909090,Telegrey1
RAL7046,130,137,143,1,#82898F,Telegrey2
RAL7047,208,208,208,1,#D0D0D0,Telegrey4
RAL4010,215,045,109,1,#CF3476,Telemagenta
RAL8028,078,059,049,1,#4E3B31,Terrabrown
RAL3013,161,035,018,1,#A12312,Tomatored
RAL9017,030,030,030,1,#1E1E1E,Trafficblack
RAL5017,006,057,113,1,#063971,Trafficblue
RAL6024,048,132,070,1,#308446,Trafficgreen
RAL7042,141,148,141,1,#8D948D,TrafficgreyA
RAL7043,078,084,082,1,#4E5452,TrafficgreyB
RAL2009,245,064,033,1,#F54021,Trafficorange
RAL3020,204,006,005,1,#CC0605,Trafficred
RAL9016,246,246,246,1,#F6F6F6,Trafficwhite
RAL1023,250,210,001,1,#FAD201,Trafficyellow
RAL4006,160,052,114,1,#A03472,Trafficpurple
RAL5018,063,136,143,1,#3F888F,Turquoiseblue
RAL6016,030,089,069,1,#1E5945,Turquoisegreen
RAL5002,032,033,079,1,#20214F,Ultramarineblue
RAL7022,051,047,044,1,#332F2C,Umbragrey
RAL2002,203,040,033,1,#CB2821,Vermilion
RAL5000,042,046,075,1,#354D73,Violetblue
RAL5021,037,109,123,1,#256D7B,Waterblue
RAL9006,165,165,165,1,#A5A5A5,Whitealuminium
RAL7040,157,161,170,1,#9DA1AA,Windowgrey
RAL3005,094,033,041,1,#5E2129,Winered
RAL6018,087,166,057,1,#57A639,Yellowgreen
RAL7034,143,139,102,1,#8F8B66,Yellowgrey
RAL6014,071,064,046,1,#47402E,Yellowolive
RAL2000,237,118,014,1,#ED760E,Yelloworange
RAL1018,248,243,053,1,#F8F32B,Zincyellow
